age,sex,political_stance,pro_reform,pro_protest,pro_arnona,post1_agree,post2_agree,post3_agree,post4_agree,men_post1,right_post1,old_post1,men_post2,right_post2,old_post2,men_post3,right_post3,old_post3,men_post4,right_post4,old_post4
51,1,2,0,1,2,1,7,4,4,1,1,0,0,0,0,1,0,1,0,1,1
24,0,3,0,1,2,2,5,4,4,1,1,0,0,0,0,1,0,1,0,1,1
49,0,3,0,1,0,3,7,4,4,1,1,0,0,0,0,1,0,1,0,1,1
27,1,3,0,1,0,3,3,6,4,1,1,0,0,0,0,1,0,1,0,1,1
54,0,1,0,1,1,2,5,5,2,1,1,0,0,0,0,1,0,1,0,1,1
24,0,3,1,1,1,5,3,4,5,1,1,0,0,0,0,1,0,1,0,1,1
25,0,3,0,1,0,1,5,7,5,1,1,0,0,0,0,1,0,1,0,1,1
23,1,3,0,1,0,1,6,6,4,1,1,0,0,0,0,1,0,1,0,1,1
26,0,2,0,1,0,1,6,6,4,1,1,0,0,0,0,1,0,1,0,1,1
24,0,4,1,0,2,6,6,5,5,1,1,0,0,0,0,1,0,1,0,1,1
25,0,4,1,0,1,5,1,2,6,1,1,0,0,0,0,1,0,1,0,1,1
49,0,3,0,0,0,3,3,4,3,1,1,0,0,0,0,1,0,1,0,1,1
38,0,5,1,1,2,7,1,2,4,1,1,0,0,0,0,1,0,1,0,1,1
26,1,2,0,1,0,1,5,5,5,1,1,0,0,0,0,1,0,1,0,1,1
25,1,2,1,1,0,1,6,7,3,1,1,0,0,0,0,1,0,1,0,1,1
31,1,3,1,0,2,5,3,6,5,1,1,0,0,0,0,1,0,1,0,1,1
24,0,2,0,1,1,2,5,4,6,1,1,0,0,0,0,1,0,1,0,1,1
