age,sex,political_stance,pro_reform,pro_protest,pro_arnona,post1_agree,post2_agree,post3_agree,post4_agree,men_post1,right_post1,old_post1,men_post2,right_post2,old_post2,men_post3,right_post3,old_post3,men_post4,right_post4,old_post4
25,0,2,0,1,0,3,6,7,4,1,1,1,0,0,1,1,0,0,0,1,0
26,1,2,0,1,0,2,5,5,4,1,1,1,0,0,1,1,0,0,0,1,0
25,0,2,0,1,0,1,5,4,4,1,1,1,0,0,1,1,0,0,0,1,0
24,0,2,0,1,1,1,6,6,2,1,1,1,0,0,1,1,0,0,0,1,0
24,0,2,0,1,2,2,6,5,3,1,1,1,0,0,1,1,0,0,0,1,0
24,0,4,0,1,0,2,7,4,3,1,1,1,0,0,1,1,0,0,0,1,0
26,1,2,0,1,2,1,6,4,4,1,1,1,0,0,1,1,0,0,0,1,0
29,1,3,0,1,0,2,7,7,4,1,1,1,0,0,1,1,0,0,0,1,0
24,0,3,0,1,0,1,7,7,3,1,1,1,0,0,1,1,0,0,0,1,0
39,0,4,1,0,0,6,4,1,5,1,1,1,0,0,1,1,0,0,0,1,0
28,1,2,0,1,1,2,5,3,5,1,1,1,0,0,1,1,0,0,0,1,0
28,1,3,0,1,1,2,5,3,4,1,1,1,0,0,1,1,0,0,0,1,0
31,0,4,0,1,1,3,6,3,3,1,1,1,0,0,1,1,0,0,0,1,0
35,0,1,0,1,1,3,4,3,2,1,1,1,0,0,1,1,0,0,0,1,0
42,1,5,0,1,1,3,4,3,3,1,1,1,0,0,1,1,0,0,0,1,0
24,0,2,0,1,2,2,6,4,3,1,1,1,0,0,1,1,0,0,0,1,0
43,0,3,1,1,0,2,5,6,2,1,1,1,0,0,1,1,0,0,0,1,0
44,1,1,0,1,2,2,6,6,3,1,1,1,0,0,1,1,0,0,0,1,0
49,0,5,1,0,2,7,2,5,3,1,1,1,0,0,1,1,0,0,0,1,0
30,1,2,1,1,0,2,6,5,4,1,1,1,0,0,1,1,0,0,0,1,0
