age,sex,political_stance,pro_reform,pro_protest,pro_arnona,post1_agree,post2_agree,post3_agree,post4_agree,men_post1,right_post1,old_post1,men_post2,right_post2,old_post2,men_post3,right_post3,old_post3,men_post4,right_post4,old_post4
25,0,2,0,1,2,5,6,4,4,0,1,0,1,0,0,0,0,1,1,1,1
26,1,2,0,1,1,7,6,5,6,0,1,0,1,0,0,0,0,1,1,1,1
26,0,3,0,1,0,2,3,5,3,0,1,0,1,0,0,0,0,1,1,1,1
23,0,4,0,0,2,3,4,4,5,0,1,0,1,0,0,0,0,1,1,1,1
28,1,1,0,1,0,1,6,7,5,0,1,0,1,0,0,0,0,1,1,1,1
25,1,2,1,1,0,1,6,7,4,0,1,0,1,0,0,0,0,1,1,1,1
38,0,5,1,0,1,6,1,5,6,0,1,0,1,0,0,0,0,1,1,1,1
26,1,4,1,0,0,5,6,6,5,0,1,0,1,0,0,0,0,1,1,1,1
43,0,4,1,0,1,5,1,5,5,0,1,0,1,0,0,0,0,1,1,1,1
28,0,2,0,1,0,1,7,6,5,0,1,0,1,0,0,0,0,1,1,1,1
38,1,5,1,0,0,7,1,7,4,0,1,0,1,0,0,0,0,1,1,1,1
28,1,2,1,1,1,2,6,3,5,0,1,0,1,0,0,0,0,1,1,1,1
29,1,3,0,1,0,2,7,5,4,0,1,0,1,0,0,0,0,1,1,1,1
35,0,5,1,0,2,6,3,1,5,0,1,0,1,0,0,0,0,1,1,1,1
46,0,1,0,1,0,1,7,5,4,0,1,0,1,0,0,0,0,1,1,1,1
56,0,3,0,1,2,1,3,4,4,0,1,0,1,0,0,0,0,1,1,1,1
29,0,3,0,1,2,1,6,4,6,0,1,0,1,0,0,0,0,1,1,1,1
28,0,2,0,1,2,2,5,3,7,0,1,0,1,0,0,0,0,1,1,1,1
